Municipio;Taxa_de_desemprego_16a_e+
251380 SANTA TERESINHA;"6,91"
251385 SANTO ANDRE;"4,31"
251390 SAO BENTO;"2,65"
251392 SAO BENTINHO;"6,58"
251394 SAO DOMINGOS DO CARIRI;"4,55"
251396 SAO DOMINGOS;"6,05"
251398 SAO FRANCISCO;"4,75"
251400 SAO JOAO DO CARIRI;"5,52"
251410 SAO JOAO DO TIGRE;"2,21"
251420 SAO JOSE DA LAGOA TAPADA;"5,52"
251430 SAO JOSE DE CAIANA;"3,35"
251440 SAO JOSE DE ESPINHARAS;"2,56"
251445 SAO JOSE DOS RAMOS;"4,46"
251450 SAO JOSE DE PIRANHAS;"6,83"
251455 SAO JOSE DE PRINCESA;"4,55"
251460 SAO JOSE DO BONFIM;"7,1"
251465 SAO JOSE DO BREJO DO CRUZ;"16,06"
251470 SAO JOSE DO SABUGI;"2,75"
251480 SAO JOSE DOS CORDEIROS;"3,17"
251490 SAO MAMEDE;"6,33"
251500 SAO MIGUEL DE TAIPU;"2,97"
251510 SAO SEBASTIAO DE LAGOA DE ROCA;"6,87"
251520 SAO SEBASTIAO DO UMBUZEIRO;"7,46"
251530 SAPE;"13,09"
251540 SAO VICENTE DO SERIDO;"6,52"
251550 SERRA BRANCA;"6,61"
251560 SERRA DA RAIZ;"7,82"
251570 SERRA GRANDE;"5,87"
251580 SERRA REDONDA;"5,31"
251590 SERRARIA;"4,59"
251593 SERTAOZINHO;"4,67"
251597 SOBRADO;"7,09"
251600 SOLANEA;"7,11"
251610 SOLEDADE;"5,23"
251615 SOSSEGO;"2,02"
251620 SOUSA;"9,75"
251630 SUME;"8,03"
251640 TACIMA;"9,81"
251650 TAPEROA;"7,98"
251660 TAVARES;"6,44"
251670 TEIXEIRA;"6,21"
251675 TENORIO;"6,13"
251680 TRIUNFO;"7,52"
251690 UIRAUNA;"6,16"
251700 UMBUZEIRO;"3,95"
251710 VARZEA;"5,76"
251720 VIEIROPOLIS;"9,19"
251740 ZABELE;"7,85"
